City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,93,100,4.02,NZ,1695765897
1,nieuw amsterdam,5.8833,-55.0833,31.01,71,20,5.14,SR,1695765897
2,lebu,-37.6167,-73.65,9.6,65,4,6.58,CL,1695765897
3,lompoc,34.6391,-120.4579,31.68,69,0,12.52,US,1695765897
4,longyearbyen,78.2186,15.6401,-8.09,86,20,3.09,SJ,1695765897
5,sisimiut,66.9395,-53.6735,1.52,70,100,6.1,GL,1695765897
6,grytviken,-54.2811,-36.5092,-1.08,82,16,4.56,GS,1695765897
7,taksimo,56.3444,114.8794,6.7,85,8,1.53,RU,1695765897
8,crane,31.3974,-102.3501,32.34,28,43,2.52,US,1695765897
9,edwardsville,38.8114,-89.9532,32.11,40,40,2.57,US,1695765813
10,bowie,33.4501,-94.4335,31.83,47,0,1.28,US,1695765765
11,port elizabeth,-33.918,25.5701,15.16,68,20,4.63,ZA,1695765898
12,fort-shevchenko,44.5086,50.263,20.03,46,2,5.85,KZ,1695765898
13,bilibino,68.0546,166.4372,-1.45,75,100,2.82,RU,1695765898
14,sol'-iletsk,51.1631,54.9918,13.35,68,1,3.7,RU,1695765898
15,saipan,15.1355,145.701,26.39,94,100,2.06,MP,1695765898
16,puerto ayora,-0.7393,-90.3518,28.98,91,62,4.92,EC,1695765898
17,hammerfest,70.6634,23.6821,10.25,93,75,6.17,NO,1695765899
18,blackmans bay,-43.0167,147.3167,10.41,79,40,1.83,AU,1695765805
19,mahdia,35.5047,11.0622,23.97,66,12,11.79,TN,1695765899
20,hastings,50.8552,0.5729,17.51,47,63,4.11,GB,1695765899
21,port-aux-francais,-49.35,70.2167,1.81,80,94,17.86,TF,1695765899
22,mutare,-18.9707,32.6709,20.24,64,72,1.03,ZW,1695765899
23,sittwe,20.15,92.9,27.04,89,90,2.33,MM,1695765899
24,papatowai,-46.5619,169.4708,8.81,78,99,3.17,NZ,1695765900
25,al hufuf,25.3646,49.5653,30.19,74,0,0.0,SA,1695765900
26,jamestown,42.097,-79.2353,17.77,75,100,3.6,US,1695765034
27,stanley,54.868,-1.6985,12.93,88,40,3.6,GB,1695765900
28,espinosa,-14.9261,-42.8192,30.94,25,86,2.7,BR,1695765900
29,edinburgh of the seven seas,-37.0676,-12.3116,13.25,75,0,8.85,SH,1695765900
30,iqaluit,63.7506,-68.5145,7.85,75,100,3.09,CA,1695765900
31,adamstown,-25.066,-130.1015,20.99,68,78,6.87,PN,1695765901
32,gwangju,35.1547,126.9156,20.76,96,84,0.41,KR,1695765651
33,vernon,50.2581,-119.2691,19.23,82,38,1.03,CA,1695765667
34,talagutong,6.2644,125.6678,26.61,76,99,1.44,PH,1695765901
35,mount pearl,47.5166,-52.7813,9.52,84,100,7.72,CA,1695765902
36,zakynthos,37.7914,20.8953,20.36,78,100,4.88,GR,1695765902
37,hermanus,-34.4187,19.2345,12.65,80,0,4.32,ZA,1695765903
38,touros,-5.1989,-35.4608,25.45,80,29,6.83,BR,1695765903
39,yatou,37.15,122.3833,19.12,92,37,2.12,CN,1695765903
40,taiynsha,53.8478,69.7639,11.65,91,90,2.56,KZ,1695765904
41,college,64.8569,-147.8028,10.11,61,40,0.45,US,1695765621
42,port blair,11.6667,92.75,25.02,94,75,3.6,IN,1695765904
43,port saint john's,-31.6229,29.5448,16.45,58,59,9.21,ZA,1695765905
44,kangaba,11.9333,-8.4167,25.54,72,78,1.56,ML,1695765905
45,funafuti,-8.5243,179.1942,31.0,84,75,3.09,TV,1695765906
46,cururupu,-1.8283,-44.8683,25.43,78,11,2.07,BR,1695765906
47,kodiak,57.79,-152.4072,11.73,47,40,5.14,US,1695765906
48,tatarsk,55.219,75.9828,10.19,88,99,2.78,RU,1695765907
49,rudnyy,52.9594,63.1206,6.13,69,0,3.1,KZ,1695765907
